Date,Price,Open,High,Low,Volume,Change %
08/30/2022,"1,432.50","1,437.75","1,440.00","1,408.25",81.73K,-0.37%
08/29/2022,"1,437.75","1,458.00","1,460.75","1,432.00",94.43K,-1.61%
08/26/2022,"1,461.25","1,430.00","1,464.75","1,426.50",95.20K,2.10%
08/25/2022,"1,431.25","1,456.75","1,467.00","1,428.50",110.36K,-1.77%
08/24/2022,"1,457.00","1,461.50","1,484.50","1,447.50",121.78K,-0.27%
08/23/2022,"1,461.00","1,435.50","1,474.75","1,431.25",135.17K,1.79%
08/22/2022,"1,435.25","1,398.00","1,438.50","1,393.00",103.05K,2.23%
08/19/2022,"1,404.00","1,405.75","1,410.00","1,386.25",64.96K,-0.09%
08/18/2022,"1,405.25","1,390.00","1,413.00","1,376.50",81.70K,1.10%
08/17/2022,"1,390.00","1,382.50","1,400.00","1,379.00",71.05K,0.65%
08/16/2022,"1,381.00","1,409.00","1,413.75","1,376.00",93.29K,-2.21%
08/15/2022,"1,412.25","1,441.75","1,443.75","1,386.00",114.28K,-8.00%
08/12/2022,"1,535.00","1,518.50","1,537.50","1,483.00",17.22K,0.97%
08/11/2022,"1,520.25","1,504.50","1,537.00","1,489.25",14.76K,0.75%
08/10/2022,"1,509.00","1,515.25","1,557.25","1,500.50",24.07K,-0.21%
08/09/2022,"1,512.25","1,477.25","1,520.25","1,477.25",24.36K,3.30%
08/08/2022,"1,464.00","1,460.25","1,478.75","1,453.75",12.34K,0.05%
08/05/2022,"1,463.25","1,460.25","1,477.75","1,443.50",19.47K,0.14%
08/04/2022,"1,461.25","1,405.00","1,466.50","1,396.00",24.35K,4.10%
08/03/2022,"1,403.75","1,405.00","1,431.00","1,390.00",15.04K,-0.85%
08/02/2022,"1,415.75","1,424.00","1,438.00","1,403.75",23.01K,-1.13%
08/01/2022,"1,432.00","1,500.00","1,504.00","1,421.00",23.92K,-3.71%
07/29/2022,"1,487.25","1,457.00","1,516.00","1,452.75",31.11K,2.08%
07/28/2022,"1,457.00","1,429.75","1,462.75","1,427.50",26.01K,2.28%
07/27/2022,"1,424.50","1,399.00","1,431.25","1,386.50",30.68K,1.77%
07/26/2022,"1,399.75","1,366.50","1,404.00","1,366.50",23.10K,3.23%
07/25/2022,"1,356.00","1,344.75","1,360.00","1,324.75",18.23K,2.15%
07/22/2022,"1,327.50","1,317.75","1,344.75","1,304.50",13.05K,0.80%
07/21/2022,"1,317.00","1,350.75","1,359.00","1,310.50",11.41K,-2.48%
07/20/2022,"1,350.50","1,371.50","1,373.00","1,346.25",9.14K,-1.82%
07/19/2022,"1,375.50","1,397.25","1,399.50","1,356.50",8.55K,-1.52%
07/18/2022,"1,396.75","1,372.50","1,410.00","1,359.25",8.83K,2.74%
07/15/2022,"1,359.50","1,367.25","1,377.00","1,349.50",6.94K,-7.63%
07/14/2022,"1,471.75","1,486.00","1,503.00","1,457.50",23.09K,-0.88%
07/13/2022,"1,484.75","1,467.50","1,497.25","1,444.75",20.23K,1.12%
07/12/2022,"1,468.25","1,522.00","1,533.50","1,459.25",26.78K,-3.53%
