Year,Month,Data #,Degrees
1982,11,1211,17.4
1982,12,1212,10.9
1983,1,1213,-9.3
1983,2,1214,-20.8
1983,3,1215,-37.9
1983,4,1216,-35.8
1983,5,1217,-36
1983,6,1218,-21.5
1983,7,1219,-4.2
1983,8,1220,9.8
1983,9,1221,14.1
1983,10,1222,19.1
1983,11,1223,12.8
1983,12,1224,4
1984,1,1225,-11.8
1984,2,1226,-30
1984,3,1227,-40
1984,4,1228,-43.7
1984,5,1229,-34
1984,6,1230,-21.6
1984,7,1231,-4.1
1984,8,1232,7.5
1984,9,1233,15.8
1984,10,1234,18.1
1984,11,1235,14.9
1984,12,1236,6.6
1985,1,1237,-8.5
1985,2,1238,-26.1
1985,3,1239,-38.5
1985,4,1240,-41
1985,5,1241,-34.4
1985,6,1242,-20.5
1985,7,1243,-6.7
1985,8,1244,4.8
1985,9,1245,16.9
1985,10,1246,19.9
1985,11,1247,16.4
1985,12,1248,6.3
1986,1,1249,-6.6
1986,2,1250,-29.3
1986,3,1251,-39.1
1986,4,1252,-45
1986,5,1253,-33.6
1986,6,1254,-22.5
1986,7,1255,-7.6
1986,8,1256,3
1986,9,1257,14.5
1986,10,1258,18.6
1986,11,1259,15.7
1986,12,1260,4.1
1987,1,1261,-9.9
1987,2,1262,-31.8
1987,3,1263,-43.1
1987,4,1264,-41.3
1987,5,1265,-34.1
1987,6,1266,-20.9
1987,7,1267,-4.9
1987,8,1268,8.4
1987,9,1269,16.9
1987,10,1270,21.2
1987,11,1271,13.3
1987,12,1272,7.2
1988,1,1273,-4.7
1988,2,1274,-24.3
1988,3,1275,-31.9
1988,4,1276,-39.2
1988,5,1277,-29.5
1988,6,1278,-14.6
1988,7,1279,-6.3
1988,8,1280,7
1988,9,1281,15.4
1988,10,1282,18.1
1988,11,1283,13.8
1988,12,1284,5.4
1989,1,1285,-11.3
1989,2,1286,-27.7
1989,3,1287,-34.3
1989,4,1288,-42.4
1989,5,1289,-35.9
1989,6,1290,-12
1989,7,1291,-5.3
1989,8,1292,9.8
1989,9,1293,17.4
1989,10,1294,17.1
1989,11,1295,16.8
1989,12,1296,4.4
1990,1,1297,-4.3
1990,2,1298,-28.3
1990,3,1299,-34.9
1990,4,1300,-32
1990,5,1301,-35.8
1990,6,1302,-22.4
1990,7,1303,-4.3
1990,8,1304,6.9
1990,9,1305,14.2
1990,10,1306,20.9
1990,11,1307,16.8
1990,12,1308,5
1991,1,1309,-8.6
1991,2,1310,-26.9
1991,3,1311,-34.5
1991,4,1312,-39.5
1991,5,1313,-32.3
1991,6,1314,-20.9
1991,7,1315,-3.6
1991,8,1316,7.6
1991,9,1317,17
1991,10,1318,18.8
1991,11,1319,14.2
1991,12,1320,6.5
1992,1,1321,-5.3
1992,2,1322,-32
1992,3,1323,-35.4
1992,4,1324,-32.4
1992,5,1325,-32.1
1992,6,1326,-21.3
1992,7,1327,-9.4
1992,8,1328,6.6
1992,9,1329,15.9
1992,10,1330,19.7
1992,11,1331,14.8
1992,12,1332,6
1993,1,1333,-7.9
1993,2,1334,-28.4
1993,3,1335,-41.6
1993,4,1336,-45
1993,5,1337,-34.2
1993,6,1338,-19.9
1993,7,1339,-5.3
1993,8,1340,8
1993,9,1341,14.4
1993,10,1342,17.4
1993,11,1343,14.4
1993,12,1344,7.2
1994,1,1345,-4.7
1994,2,1346,-26.5
1994,3,1347,-44
1994,4,1348,-35.9
1994,5,1349,-27.6
1994,6,1350,-22.4
1994,7,1351,-6.2
1994,8,1352,6.4
1994,9,1353,18.8
1994,10,1354,18.5
1994,11,1355,15.2
1994,12,1356,5.9
1995,1,1357,-3.7
1995,2,1358,-26.3
1995,3,1359,-34.1
1995,4,1360,-41.5
1995,5,1361,-30.8
1995,6,1362,-22.6
1995,7,1363,-5.2
1995,8,1364,7.2
1995,9,1365,17.2
1995,10,1366,19.2
1995,11,1367,13.2
1995,12,1368,5.8
